# V t o r C 	 [ m / s ]
0.000	 64033.660487995345
5.000e-3	 64151.37838168653
0.01000	 64265.839372165734
0.01500	 64377.03729843249
0.02000	 64484.96608809093
0.02500	 64589.61975735855
0.03000	 64690.99241100694
0.03500	 64789.07824234112
0.04000	 64883.87153332855
0.04500	 64975.36665442782
0.05000	 65063.55806477868
0.05500	 65148.44031201441
0.06000	 65230.00803236008
0.06500	 65307.79705195713
0.07000	 65382.20006503679
0.07500	 65453.273762863144
0.08000	 65521.01321116153
0.08500	 65585.41356384095
0.09000	 65646.12492640161
0.09500	 65703.41205362552
0.1000	 65757.34690393572
0.1050	 65807.9250439245
0.1100	 65859.57213179278
0.1150	 65908.25782555401
0.1200	 65953.56263215958
0.1250	 65990.99040912406
0.1300	 66023.56290264467
0.1350	 66052.75622825697
0.1400	 66078.42142880475
0.1450	 66100.6654513261
0.1500	 66119.4895309427
0.1550	 66134.71542043946
0.1600	 66146.54603868186
0.1650	 66155.15842990638
0.1700	 66160.46248698271
0.1750	 66162.26452364292
0.1800	 66160.48135482978
0.1850	 66155.20898089642
0.1900	 66146.13963754545
0.1950	 66133.70898440608
0.2000	 66118.33479804963
0.2050	 66099.41756107293
0.2100	 66076.20916750588
0.2150	 66049.65717948275
0.2200	 66019.95716127435
0.2250	 65986.85510155461
0.2300	 65950.36337286171
0.2350	 65910.0160902443
0.2400	 65865.97681528411
0.2450	 65818.55243091511
0.2500	 65767.73140090043
0.2550	 65713.58205117093
0.2600	 65655.86487096637
0.2650	 65594.61671293226
0.2700	 65529.39067632983
0.2750	 65460.72943837996
0.2800	 65388.63225198629
0.2850	 65313.07087949334
0.2900	 65233.99073889682
0.2950	 65151.37390932964
0.3000	 65064.997066305325
0.3050	 64975.1353281594
0.3100	 64881.790709397355
0.3150	 64784.93195009082
0.3200	 64684.57650994997
0.3250	 64580.595814486594
0.3300	 64472.87139935578
0.3350	 64361.65794628376
0.3400	 64247.01078034664
0.3450	 64128.82325063033
0.3500	 64006.978347644515
0.3550	 63881.60282050397
0.3600	 63752.617640030265
0.3650	 63620.03982901406
0.3700	 63483.91490523074
0.3750	 63344.37406312631
0.3800	 63201.18164942541
0.3850	 63054.359256927346
0.3900	 62903.888834970625
0.3950	 62749.80736997847
0.4000	 62592.27462714625
0.4050	 62431.30296980286
