# V t o r D 	 [ m / s ]
0.000	 32466.395762948385
5.000e-3	 33140.02741924854
0.01000	 33786.17295648608
0.01500	 34405.24936703513
0.02000	 34997.64051942574
0.02500	 35563.75389313816
0.03000	 36104.048323019444
0.03500	 36618.95556323968
0.04000	 37108.91243674712
0.04500	 37574.42210353567
0.05000	 38015.955702518244
0.05500	 38433.99604594407
0.06000	 38829.059911947596
0.06500	 39201.37523452363
0.07000	 39551.69607073071
0.07500	 39880.60792969522
0.08000	 40188.636517636274
0.08500	 40476.315662466244
0.09000	 40744.019452521614
0.09500	 40992.4421422573
0.1000	 41222.240202461675
0.1050	 41433.94243653288
0.1100	 41630.949833035964
0.1150	 41811.3049994383
0.1200	 41975.33853467112
0.1250	 42120.76510241267
0.1300	 42250.12772844874
0.1350	 42364.88370784843
0.1400	 42465.59117669525
0.1450	 42552.88765137526
0.1500	 42627.38230055726
0.1550	 42689.55815802138
0.1600	 42740.128056247115
0.1650	 42779.808175785045
0.1700	 42809.14810582585
0.1750	 42828.57399326624
0.1800	 42838.62949028411
0.1850	 42839.970609451295
0.1900	 42832.93622075202
0.1950	 42818.42351722702
0.2000	 42797.23311049806
0.2050	 42769.53339324321
0.2100	 42735.3997515742
0.2150	 42695.981112804315
0.2200	 42651.95253596844
0.2250	 42603.65029314535
0.2300	 42551.61048623755
0.2350	 42496.04326704598
0.2400	 42437.53851210274
0.2450	 42376.79431229974
0.2500	 42314.25663835591
0.2550	 42250.45336942397
0.2600	 42185.69782386402
0.2650	 42120.4304374801
0.2700	 42054.762246044535
0.2750	 41989.52856739956
0.2800	 41925.08816323461
0.2850	 41861.81429843812
0.2900	 41800.0523150417
0.2950	 41740.17450692236
0.3000	 41682.34512391699
0.3050	 41627.09191766477
0.3100	 41574.746740365954
0.3150	 41525.60899608124
0.3200	 41479.94098287399
0.3250	 41437.92449977679
0.3300	 41399.796872743376
0.3350	 41365.93026456261
0.3400	 41336.57993569294
0.3450	 41311.90067246543
0.3500	 41292.04309853522
0.3550	 41277.235276578234
0.3600	 41267.628556077056
0.3650	 41263.296448225345
0.3700	 41264.49227360777
0.3750	 41271.41499360818
0.3800	 41283.97104092893
0.3850	 41302.2968596493
0.3900	 41326.40692585459
0.3950	 41356.44673169218
0.4000	 41392.517229088975
0.4050	 41434.67020257711
0.4100	 41482.75509396035
0.4150	 41536.816449799466
0.4200	 41596.93260424039
0.4250	 41663.03313303673
0.4300	 41734.957669602845
0.4350	 41812.75160937924
0.4400	 41896.36444075085
