        R                 Z              n_n_slow        n_n_thermal        n_n_total       izn_rate_slow    izn_rate_thermal   izn_rate_total  
           1.10107          -0.71128       1.25991E+15       6.12293E+14       1.87220E+15       1.61623E+18       7.85460E+17       2.40169E+18
           1.12215          -0.54976       1.01651E+14       1.35278E+14       2.36929E+14       1.10805E+17       1.47460E+17       2.58265E+17
           1.07559          -0.61082       1.56474E+15       5.32715E+14       2.09746E+15       1.71712E+18       5.84592E+17       2.30171E+18
           1.12163          -0.61180       3.05041E+14       2.61061E+14       5.66102E+14       3.47012E+17       2.96982E+17       6.43994E+17
           1.09329          -0.45715       8.22505E+14       3.00298E+14       1.12280E+15       8.45137E+17       3.08561E+17       1.15370E+18
           1.13573          -1.00394       1.38321E+15       9.32027E+14       2.31523E+15       2.04073E+18       1.37508E+18       3.41581E+18
           1.05800          -0.40372       2.53350E+15       7.49281E+14       3.28278E+15       1.64975E+18       4.87914E+17       2.13767E+18
           1.15824          -0.69092       6.15125E+13       1.06409E+14       1.67922E+14       7.02894E+16       1.21592E+17       1.91882E+17
           1.16192          -0.75423       2.74909E+14       1.97483E+14       4.72392E+14       3.51712E+17       2.52656E+17       6.04368E+17
           1.18919          -0.64786       2.12278E+12       6.30464E+13       6.51692E+13       2.51181E+15       7.46007E+16       7.71125E+16
           1.15389          -0.57488       1.77549E+13       9.29000E+13       1.10655E+14       2.14548E+16       1.12259E+17       1.33713E+17
           1.18282          -0.48971       1.70539E+11       5.15314E+13       5.17020E+13       2.06366E+14       6.23573E+16       6.25636E+16
           1.15316          -0.51895       4.92806E+12       8.07901E+13       8.57181E+13       5.58552E+15       9.15683E+16       9.71538E+16
           1.18472          -0.38528       6.58304E+10       4.72977E+13       4.73636E+13       8.79166E+13       6.31662E+16       6.32541E+16
           1.12541          -0.43206       5.02166E+13       1.28522E+14       1.78739E+14       5.85224E+16       1.49780E+17       2.08303E+17
           1.17087          -1.23909       4.52106E+15       1.22406E+15       5.74513E+15       5.45728E+18       1.47754E+18       6.93482E+18
           1.12520          -1.19342       4.18374E+15       1.14394E+15       5.32768E+15       5.29607E+18       1.44808E+18       6.74416E+18
           1.15511          -0.40876       2.15336E+12       7.92522E+13       8.14056E+13       2.75562E+15       1.01418E+17       1.04173E+17
           1.07505          -0.29152       7.04398E+14       2.97795E+14       1.00219E+15       7.35720E+17       3.11037E+17       1.04676E+18
           1.09728          -0.39538       2.24625E+14       1.77085E+14       4.01710E+14       2.34987E+17       1.85254E+17       4.20242E+17
           1.06561          -0.11754       1.07033E+15       3.52989E+14       1.42332E+15       1.10306E+18       3.63784E+17       1.46684E+18
           1.04164          -0.07141       3.76365E+15       7.63125E+14       4.52677E+15       2.90802E+18       5.89637E+17       3.49766E+18
           1.08201          -0.22999       2.09603E+14       2.03011E+14       4.12615E+14       2.24533E+17       2.17471E+17       4.42004E+17
           1.07527          -0.05723       3.11779E+14       2.52124E+14       5.63904E+14       3.37476E+17       2.72905E+17       6.10381E+17
           1.10697          -0.27630       4.89026E+13       1.49478E+14       1.98381E+14       5.63305E+16       1.72183E+17       2.28513E+17
           1.02989          -0.18215      -2.28743E+14      -5.73133E+14      -8.01876E+14      -9.53790E+11      -2.38979E+12      -3.34358E+12
           1.11271          -0.21811       1.25198E+13       1.24950E+14       1.37470E+14       1.41336E+16       1.41056E+17       1.55190E+17
           1.15779          -0.35405       4.19807E+11       6.74590E+13       6.78788E+13       5.07484E+14       8.15477E+16       8.20552E+16
           1.18738          -0.33336       1.15359E+10       3.88490E+13       3.88605E+13       1.43124E+13       4.81991E+16       4.82134E+16
           1.16616          -0.24678       8.93548E+10       5.81216E+13       5.82110E+13       1.18579E+14       7.71309E+16       7.72495E+16
           1.12689          -0.10553       4.24888E+12       1.21837E+14       1.26086E+14       5.36753E+15       1.53914E+17       1.59282E+17
           1.14227          -0.20626       5.31884E+11       8.09135E+13       8.14454E+13       6.47291E+14       9.84699E+16       9.91172E+16
           1.17186          -0.19430       1.70925E+10       4.74901E+13       4.75072E+13       2.13789E+13       5.93994E+16       5.94208E+16
