# V t o r C 	 [ m / s ]
0.000	 56327.002952298586
5.000e-3	 56431.04317301033
0.01000	 56533.17313345813
0.01500	 56633.3773149122
0.02000	 56731.64016230734
0.02500	 56827.94608429967
0.03000	 56922.27945323275
0.03500	 57014.62460519656
0.04000	 57104.96583986644
0.04500	 57193.287420710796
0.05000	 57279.573574871734
0.05500	 57363.80849318838
0.06000	 57445.97633016845
0.06500	 57525.67717114961
0.07000	 57603.25290798279
0.07500	 57678.71423192961
0.08000	 57752.04519548579
0.08500	 57823.22981501601
0.09000	 57891.736400910944
0.09500	 57958.00699982271
0.1000	 58022.083881228966
0.1050	 58083.98321583611
0.1100	 58148.05506071737
0.1150	 58209.877919516366
0.1200	 58269.43513981788
0.1250	 58321.9575744706
0.1300	 58371.42337825502
0.1350	 58418.583819217776
0.1400	 58463.59121946332
0.1450	 58506.27484490372
0.1500	 58546.46988664919
0.1550	 58583.917347927185
0.1600	 58618.97881341907
0.1650	 58651.88924553621
0.1700	 58682.443988799365
0.1750	 58710.47781852562
0.1800	 58735.97510363335
0.1850	 58758.80490473984
0.1900	 58778.74681300193
0.1950	 58796.35119981294
0.2000	 58811.88820825624
0.2050	 58824.63509850366
0.2100	 58834.22805123388
0.2150	 58841.3048349917
0.2200	 58845.8725970034
0.2250	 58848.0104421371
0.2300	 58847.65674908645
0.2350	 58843.92928501323
0.2400	 58837.42127247669
0.2450	 58828.57952087024
0.2500	 58816.93876326395
0.2550	 58802.448239977704
0.2600	 58785.320835777784
0.2650	 58765.36487479944
0.2700	 58742.27938518457
0.2750	 58716.33671120541
0.2800	 58687.56392702347
0.2850	 58655.96425659989
0.2900	 58621.48182570948
0.2950	 58584.05763671064
0.3000	 58543.50526932759
0.3050	 58500.113621670585
0.3100	 58453.76907657405
0.3150	 58404.39082482665
0.3200	 58352.008645282855
0.3250	 58296.56699086432
0.3300	 58238.0315695957
0.3350	 58176.34113942696
0.3400	 58111.648279349574
0.3450	 58043.841338453
0.3500	 57972.89471104045
0.3550	 57898.80096798861
0.3600	 57821.47411033117
0.3650	 57740.921826231
0.3700	 57657.21716180772
0.3750	 57570.35363039567
0.3800	 57480.13830888892
0.3850	 57386.58288933567
0.3900	 57289.74728779246
0.3950	 57189.58918743481
0.4000	 57086.12732871033
0.4050	 56979.45159220371
0.4100	 56869.370631385216
0.4150	 56755.79911041758
0.4200	 56638.93215890989
0.4250	 56518.62039451981
0.4300	 56394.76289534734
0.4350	 56267.483775254084
0.4400	 56136.855856046175
0.4450	 56002.63680189954
0.4500	 55864.914941967654
0.4550	 55723.67719022661
0.4600	 55578.86668081238
0.4650	 55430.47633259941
0.4700	 55278.576118787314
0.4750	 55123.03431726419
0.4800	 54963.82765356537
0.4850	 54801.06212820017
0.4900	 54634.57225158128
0.4950	 54464.38312843763
0.5000	 54290.55965961491
0.5050	 54113.0781722939
0.5100	 53931.8163251931
0.5150	 53746.743363476155
0.5200	 53557.993879260895
0.5250	 53365.38170120261
0.5300	 53169.02250591878
0.5350	 52968.88520208899
0.5400	 52764.87706891429
0.5450	 52556.97923549012
0.5500	 52345.26780435512
0.5550	 52129.7227168898
0.5600	 51910.16430298767
0.5650	 51686.76624426473
0.5700	 51459.40010828338
0.5750	 51228.0670210264
0.5800	 50992.805574468395
0.5850	 50753.57220347256
0.5900	 50510.286303604014
0.5950	 50263.055874931626
0.6000	 50011.79766807672
0.6050	 49756.37121312604
0.6100	 49496.93033071443
0.6150	 49233.4523150644
0.6200	 48965.891331913685
0.6250	 48694.213188746675
0.6300	 48418.395031225846
0.6350	 48138.39752515278
0.6400	 47854.2417768963
0.6450	 47565.98406497942
0.6500	 47273.522105443066
0.6550	 46976.82958334292
0.6600	 46675.93407487036
0.6650	 46370.83610308192
0.6700	 46061.41536765714
0.6750	 45747.79986578429
0.6800	 45429.903794034435
0.6850	 45107.70497514436
0.6900	 44781.214727701044
0.6950	 44450.42160224675
0.7000	 44115.26388083771
0.7050	 43775.78793601359
0.7100	 43431.9593237935
0.7150	 43083.7600071628
0.7200	 42731.18680044745
0.7250	 42374.18957481285
0.7300	 42012.787727693554
0.7350	 41646.98199773426
0.7400	 41276.77009655175
0.7450	 40902.07787714927
0.7500	 40522.922529758565
0.7550	 40139.30614474008
0.7600	 39751.222258978494
0.7650	 39358.64757095689
0.7700	 38961.53703541579
0.7750	 38559.92843508773
0.7800	 38153.8085774009
0.7850	 37743.10587722555
0.7900	 37327.88256284439
0.7950	 36908.12141664141
0.8000	 36483.80059990051
0.8050	 36054.81762548343
0.8100	 35621.15290313569
0.8150	 35182.377866705116
0.8200	 34737.91993967123
0.8250	 34287.196202233165
0.8300	 33829.80661133845
0.8350	 33365.20434679665
0.8400	 32892.78689059063
0.8450	 32412.142534458875
0.8500	 31922.702016707786
0.8550	 31423.873870792304
0.8600	 30915.252273765753
0.8650	 30396.223507337334
0.8700	 29866.24005460618
0.8750	 29324.892710884655
0.8800	 28771.484359734604
0.8850	 28205.569820964552
0.8900	 27626.68088066335
0.8950	 27034.089358269288
0.9000	 26427.47868872664
0.9050	 25806.1401825518
0.9100	 25169.596750929813
0.9150	 24517.36351662145
0.9200	 23848.73667458181
0.9250	 23163.438109181872
0.9300	 22460.597554528566
0.9350	 21740.000004593396
0.9400	 21000.796427889753
0.9450	 20242.699566437917
0.9500	 19464.422722781277
0.9550	 18655.0110175882
0.9600	 17836.90098758435
0.9650	 17123.603515311523
0.9700	 16640.022083460583
0.9750	 16512.013469771482
0.9800	 16829.861721556492
0.9850	 17458.08107639588
0.9900	 18165.97879002641
0.9950	 18727.126944740085
1.000	 18913.916971024853
