# V t o r D 	 [ m / s ]
0.000	 32342.167356183745
5.000e-3	 32401.52810689017
0.01000	 32460.8888575966
0.01500	 32520.249608303027
0.02000	 32579.610359009457
0.02500	 32638.971109715883
0.03000	 32698.331860422313
0.03500	 32757.69261112874
0.04000	 32817.05336183517
0.04500	 32876.41411254159
0.05000	 32935.77486324802
0.05500	 32995.13561395445
0.06000	 33054.49636466088
0.06500	 33113.77172565627
0.07000	 33173.014522602774
0.07500	 33232.25731954928
0.08000	 33291.50011649579
0.08500	 33350.74291344229
0.09000	 33409.89685193284
0.09500	 33468.991583277
0.1000	 33528.086314621156
0.1050	 33587.181045965306
0.1100	 33648.01699436469
0.1150	 33709.79572648825
0.1200	 33771.57445861181
0.1250	 33831.83953554951
0.1300	 33890.25294570946
0.1350	 33948.6663558694
0.1400	 34007.248195589964
0.1450	 34066.029246553284
0.1500	 34124.8102975166
0.1550	 34183.27705415751
0.1600	 34241.64668860716
0.1650	 34300.11103214146
0.1700	 34358.84955906423
0.1750	 34417.58808598699
0.1800	 34475.9339479242
0.1850	 34534.25269035602
0.1900	 34592.812239586
0.1950	 34651.46175540702
0.2000	 34710.00017575737
0.2050	 34768.47576667589
0.2100	 34826.80020270034
0.2150	 34885.0420648164
0.2200	 34943.3927058049
0.2250	 35001.78545772289
0.2300	 35060.174564720015
0.2350	 35118.54231102245
0.2400	 35176.70776005986
0.2450	 35234.878117737535
0.2500	 35293.05734476453
0.2550	 35351.217332874236
0.2600	 35409.36440235175
0.2650	 35467.41507563464
0.2700	 35525.39330082847
0.2750	 35583.277556088906
0.2800	 35641.29888953341
0.2850	 35699.30947178013
0.2900	 35757.257463756985
0.2950	 35814.95485213806
0.3000	 35872.58984795537
0.3050	 35930.200559741446
0.3100	 35987.901654283174
0.3150	 36045.551887471345
0.3200	 36103.11864987028
0.3250	 36160.46356142339
0.3300	 36217.85431478367
0.3350	 36275.23468792851
0.3400	 36332.55477264679
0.3450	 36441.14911067426
0.3500	 36590.64736978377
0.3550	 36736.67308132329
0.3600	 36879.04825721542
0.3650	 37017.77174483498
0.3700	 37152.53896036436
0.3750	 37283.195665519626
0.3800	 37409.561283798495
0.3850	 37531.41533815435
0.3900	 37648.70236127803
0.3950	 37761.30339228901
0.4000	 37868.94041175974
0.4050	 37971.41012663096
0.4100	 38068.612110047936
0.4150	 38160.451881314104
0.4200	 38246.64836366541
0.4250	 38327.070997704956
0.4300	 38401.527692764685
0.4350	 38469.81209640405
0.4400	 38531.74129763463
0.4450	 38587.2526113565
0.4500	 38636.040049811236
0.4550	 38678.029507673135
0.4600	 38713.032736188725
0.4650	 38740.80578209869
0.4700	 38761.1488046497
0.4750	 38773.968894166144
0.4800	 38779.064035141404
0.4850	 38776.19482524806
0.4900	 38765.255509778115
0.4950	 38746.01866923454
0.5000	 38718.294157982054
0.5050	 38681.92285506369
0.5100	 38636.71920731201
0.5150	 38582.450735499064
0.5200	 38519.049964407575
0.5250	 38446.19159648079
0.5300	 38363.69048367405
