            X[0]               Y
    0.000000E+00    3.479740E+00
    5.650000E-02    3.434958E+00
    9.300000E-02    3.364263E+00
    1.220000E-01    3.288793E+00
    1.470000E-01    3.212014E+00
    1.690000E-01    3.136690E+00
    1.895000E-01    3.060828E+00
    2.085000E-01    2.986275E+00
    2.260000E-01    2.914485E+00
    2.430000E-01    2.842278E+00
    2.590000E-01    2.772422E+00
    2.745000E-01    2.703272E+00
    2.890000E-01    2.637490E+00
    3.030000E-01    2.573163E+00
    3.165000E-01    2.510533E+00
    3.300000E-01    2.447462E+00
    3.430000E-01    2.386438E+00
    3.555000E-01    2.327604E+00
    3.680000E-01    2.268718E+00
    3.800000E-01    2.212226E+00
    3.920000E-01    2.155852E+00
    4.035000E-01    2.102008E+00
    4.150000E-01    2.048406E+00
    4.260000E-01    1.997416E+00
    4.370000E-01    1.946752E+00
    4.475000E-01    1.898736E+00
    4.580000E-01    1.851098E+00
    4.685000E-01    1.803873E+00
    4.785000E-01    1.759312E+00
    4.885000E-01    1.715182E+00
    4.985000E-01    1.671509E+00
    5.080000E-01    1.630465E+00
    5.175000E-01    1.589871E+00
    5.270000E-01    1.549745E+00
    5.365000E-01    1.510102E+00
    5.455000E-01    1.473004E+00
    5.545000E-01    1.436361E+00
    5.635000E-01    1.400182E+00
    5.725000E-01    1.364475E+00
    5.815000E-01    1.329247E+00
    5.900000E-01    1.296419E+00
    5.985000E-01    1.264026E+00
    6.070000E-01    1.232069E+00
    6.155000E-01    1.200550E+00
    6.240000E-01    1.169469E+00
    6.320000E-01    1.140616E+00
    6.400000E-01    1.112148E+00
    6.480000E-01    1.084064E+00
    6.560000E-01    1.056359E+00
    6.640000E-01    1.029032E+00
    6.715000E-01    1.003749E+00
    6.790000E-01    9.787895E-01
    6.865000E-01    9.541467E-01
    6.940000E-01    9.298152E-01
    7.015000E-01    9.057888E-01
    7.090000E-01    8.820606E-01
    7.160000E-01    8.601766E-01
    7.230000E-01    8.385391E-01
    7.300000E-01    8.171410E-01
    7.370000E-01    7.959748E-01
    7.440000E-01    7.750326E-01
    7.505000E-01    7.557792E-01
    7.570000E-01    7.367045E-01
    7.635000E-01    7.178009E-01
    7.700000E-01    6.990606E-01
    7.760000E-01    6.818997E-01
    7.820000E-01    6.648642E-01
    7.880000E-01    6.479473E-01
    7.940000E-01    6.311417E-01
    8.000000E-01    6.144400E-01
    8.055000E-01    5.992148E-01
    8.110000E-01    5.840643E-01
    8.165000E-01    5.689823E-01
    8.220000E-01    5.539622E-01
    8.270000E-01    5.403557E-01
    8.320000E-01    5.267899E-01
    8.370000E-01    5.132593E-01
    8.420000E-01    4.997588E-01
    8.470000E-01    4.862828E-01
    8.515000E-01    4.741708E-01
    8.560000E-01    4.620699E-01
    8.605000E-01    4.499759E-01
    8.650000E-01    4.378845E-01
    8.690000E-01    4.271352E-01
    8.730000E-01    4.163813E-01
    8.770000E-01    4.056196E-01
    8.810000E-01    3.948469E-01
    8.850000E-01    3.840599E-01
    8.885000E-01    3.746069E-01
    8.920000E-01    3.651380E-01
    8.955000E-01    3.556511E-01
    8.990000E-01    3.461438E-01
    9.025000E-01    3.366137E-01
    9.060000E-01    3.270583E-01
    9.090000E-01    3.188462E-01
    9.120000E-01    3.106123E-01
    9.150000E-01    3.023550E-01
    9.180000E-01    2.940727E-01
    9.210000E-01    2.857639E-01
    9.240000E-01    2.774270E-01
    9.265000E-01    2.704569E-01
    9.290000E-01    2.634652E-01
    9.315000E-01    2.564509E-01
    9.340000E-01    2.494130E-01
    9.365000E-01    2.423506E-01
    9.390000E-01    2.352625E-01
    9.415000E-01    2.281478E-01
    9.435000E-01    2.224361E-01
    9.455000E-01    2.167060E-01
    9.475000E-01    2.109570E-01
    9.495000E-01    2.051882E-01
    9.515000E-01    1.993991E-01
    9.535000E-01    1.935887E-01
    9.555000E-01    1.877563E-01
    9.575000E-01    1.819006E-01
    9.595000E-01    1.760205E-01
    9.610000E-01    1.715936E-01
    9.625000E-01    1.671514E-01
    9.640000E-01    1.626932E-01
    9.655000E-01    1.582181E-01
    9.670000E-01    1.537250E-01
    9.685000E-01    1.492128E-01
    9.700000E-01    1.446802E-01
    9.715000E-01    1.401260E-01
    9.730000E-01    1.355487E-01
    9.745000E-01    1.309473E-01
    9.760000E-01    1.263206E-01
    9.770000E-01    1.232219E-01
    9.780000E-01    1.201119E-01
    9.790000E-01    1.169909E-01
    9.800000E-01    1.138598E-01
    9.810000E-01    1.107196E-01
    9.820000E-01    1.075725E-01
    9.830000E-01    1.044210E-01
    9.840000E-01    1.012690E-01
    9.850000E-01    9.812180E-02
    9.860000E-01    9.498617E-02
    9.870000E-01    9.187103E-02
    9.880000E-01    8.878764E-02
    9.890000E-01    8.574994E-02
    9.900000E-01    8.277489E-02
    9.910000E-01    7.988252E-02
    9.920000E-01    7.709593E-02
    9.930000E-01    7.444091E-02
    9.940000E-01    7.194522E-02
    9.950000E-01    6.963738E-02
    9.960000E-01    6.754506E-02
    9.970000E-01    6.569310E-02
    9.985000E-01    6.340727E-02
    1.000500E+00    6.132120E-02
    1.006500E+00    6.048751E-02
    1.011500E+00    6.221944E-02
    1.021500E+00    6.284908E-02
    1.027000E+00    6.153556E-02
    1.031500E+00    6.004677E-02
    1.035500E+00    5.856274E-02
    1.039500E+00    5.699815E-02
    1.043000E+00    5.559283E-02
    1.046500E+00    5.416867E-02
    1.050000E+00    5.273380E-02
    1.053500E+00    5.129289E-02
    1.057000E+00    4.984859E-02
    1.060000E+00    4.860908E-02
    1.063000E+00    4.736873E-02
    1.066000E+00    4.612787E-02
    1.069000E+00    4.488672E-02
    1.072000E+00    4.364538E-02
    1.075000E+00    4.240393E-02
    1.077500E+00    4.136934E-02
    1.080000E+00    4.033472E-02
    1.082500E+00    3.930009E-02
    1.085000E+00    3.826543E-02
    1.087500E+00    3.723078E-02
    1.090000E+00    3.619611E-02
    1.092500E+00    3.516144E-02
    1.095000E+00    3.412678E-02
    1.097500E+00    3.309210E-02
    1.099500E+00    3.226437E-02
    1.101500E+00    3.143663E-02
    1.103500E+00    3.060889E-02
    1.105500E+00    2.978115E-02
    1.107500E+00    2.895342E-02
    1.109500E+00    2.812568E-02
    1.111500E+00    2.729794E-02
    1.113500E+00    2.647020E-02
    1.115500E+00    2.564246E-02
    1.117500E+00    2.481472E-02
    1.119000E+00    2.419392E-02
    1.120500E+00    2.357311E-02
    1.122000E+00    2.295231E-02
    1.123500E+00    2.233151E-02
    1.125000E+00    2.171070E-02
    1.126500E+00    2.108990E-02
    1.128000E+00    2.046909E-02
    1.129500E+00    1.984829E-02
    1.131000E+00    1.922749E-02
    1.132500E+00    1.860668E-02
    1.134000E+00    1.798588E-02
    1.135500E+00    1.736507E-02
    1.137000E+00    1.674427E-02
    1.138000E+00    1.633040E-02
    1.139000E+00    1.591653E-02
    1.140000E+00    1.550266E-02
    1.141000E+00    1.508879E-02
    1.142000E+00    1.467492E-02
    1.143000E+00    1.426105E-02
    1.144000E+00    1.384719E-02
    1.145000E+00    1.343332E-02
    1.146000E+00    1.301945E-02
    1.147000E+00    1.260558E-02
    1.148000E+00    1.219171E-02
    1.149000E+00    1.177784E-02
    1.150000E+00    1.136397E-02
    1.151000E+00    1.095010E-02
    1.152000E+00    1.053623E-02
    1.153000E+00    1.012236E-02
    1.154000E+00    9.708492E-03
    1.155000E+00    9.294623E-03
    1.156000E+00    8.880754E-03
    1.157000E+00    8.466884E-03
    1.157500E+00    8.259950E-03
    1.158000E+00    8.053015E-03
    1.158500E+00    7.846080E-03
    1.159000E+00    7.639146E-03
    1.159500E+00    7.432211E-03
    1.160000E+00    7.225276E-03
    1.160500E+00    7.018342E-03
    1.161000E+00    6.811407E-03
    1.161500E+00    6.604472E-03
    1.162000E+00    6.397538E-03
    1.162500E+00    6.190603E-03
    1.163000E+00    5.983668E-03
    1.163500E+00    5.776734E-03
    1.164000E+00    5.569799E-03
    1.164500E+00    5.362864E-03
    1.165000E+00    5.155930E-03
    1.165500E+00    4.948995E-03
    1.166000E+00    4.742060E-03
    1.166500E+00    4.535126E-03
    1.167000E+00    4.328191E-03
    1.167500E+00    4.121256E-03
    1.168000E+00    3.914322E-03
    1.168500E+00    3.707387E-03
    1.169000E+00    3.500452E-03
    1.169500E+00    3.293518E-03
    1.170000E+00    3.086583E-03
    1.170500E+00    2.879648E-03
    1.171000E+00    2.672714E-03
    1.171500E+00    2.465779E-03
    1.172000E+00    2.258844E-03
    1.172500E+00    2.051910E-03
    1.173000E+00    1.844975E-03
    1.173500E+00    1.638040E-03
    1.174000E+00    1.431106E-03
    1.174500E+00    1.224171E-03
    1.175000E+00    1.017236E-03
    1.175500E+00    8.103015E-04
    1.176000E+00    6.033669E-04
    1.176500E+00    3.964322E-04
    1.177000E+00    1.894975E-04
    1.177500E+00   -1.743713E-05
    1.178000E+00   -2.243718E-04
    1.178500E+00   -4.313065E-04
    1.179000E+00   -6.382411E-04
    1.179500E+00   -8.451758E-04
    1.180000E+00   -1.052110E-03
    1.180500E+00   -1.259045E-03
    1.181000E+00   -1.465980E-03
    1.181500E+00   -1.672914E-03
    1.182000E+00   -1.879849E-03
    1.182500E+00   -2.086784E-03
    1.183000E+00   -2.293718E-03
    1.183500E+00   -2.500653E-03
    1.184000E+00   -2.707588E-03
    1.184500E+00   -2.914522E-03
    1.185000E+00   -3.121457E-03
    1.185500E+00   -3.328392E-03
    1.186000E+00   -3.535326E-03
    1.186500E+00   -3.742261E-03
    1.187000E+00   -3.949196E-03
    1.187500E+00   -4.156130E-03
    1.188000E+00   -4.363065E-03
    1.188500E+00   -4.570000E-03
    1.189000E+00   -4.776934E-03
    1.189500E+00   -4.983869E-03
    1.190000E+00   -5.190804E-03
    1.190500E+00   -5.397738E-03
    1.191000E+00   -5.604673E-03
    1.191500E+00   -5.811608E-03
    1.192000E+00   -6.018542E-03
    1.192500E+00   -6.225477E-03
    1.193000E+00   -6.432412E-03
    1.193500E+00   -6.639346E-03
    1.194000E+00   -6.846281E-03
    1.194500E+00   -7.053216E-03
    1.195000E+00   -7.260150E-03
    1.195500E+00   -7.467085E-03
    1.196000E+00   -7.674020E-03
    1.196500E+00   -7.880954E-03
    1.197000E+00   -8.087889E-03
    1.198000E+00   -8.501758E-03
