,R,Z,n_n_slow,n_n_thermal,n_n_total,izn_rate_slow,izn_rate_thermal,izn_rate_total
0,1.10937666667,-1.123558,3.20151351942e+20,1.21272126432e+21,1.53287261626e+21,4.79362049934e+21,1.81580539247e+22,1.81580539247e+22
1,2.13254808333,-0.484821416667,5.90605312086e+13,5.62555484795e+18,5.62561390848e+18,7.91683358389e+14,7.54083660219e+19,7.54083660219e+19
2,1.18979633333,-0.798651,6.58978916703e+16,5.32734090191e+20,5.32799988083e+20,5.18105922319e+17,4.18849040771e+21,4.18849040771e+21
3,1.139254,-0.848212666667,5.69949647706e+19,8.42321402908e+20,8.99316367679e+20,1.85675172707e+21,2.74406998213e+22,2.74406998213e+22
4,1.140876,-1.22132333333,7.33002857584e+20,1.30402792915e+21,2.03703078674e+21,6.85234047238e+22,1.21904618292e+23,1.21904618292e+23
5,1.10369666667,-0.900361,2.50087200763e+20,7.49277564613e+20,9.99364765376e+20,1.14857141045e+22,3.44119485755e+22,3.44119485755e+22
6,1.15166433333,-1.16893533333,1.30622166319e+19,1.75070875855e+21,1.76377097518e+21,9.86240334045e+20,1.3218427159e+23,1.3218427159e+23
7,1.1990205345,-1.25715211031,1.67619266125e+19,2.23018985136e+21,2.24695177798e+21,7.09233170171e+20,9.43641297883e+22,9.43641297883e+22
8,1.18723866667,-0.705977,5.05618522205e+15,3.8054947838e+20,3.80554534566e+20,1.23405454272e+16,9.28800650885e+20,9.28800650885e+20
9,1.187641,-0.841704,6.16097187719e+17,6.91567422296e+20,6.92183519484e+20,5.85008974125e+18,6.56670986851e+21,6.56670986851e+21
10,1.2215535345,-1.30344111031,6.68913804092e+20,2.39728789726e+21,3.06620170135e+21,3.60082734039e+21,1.29048313107e+22,1.29048313107e+22
11,1.153128,-0.990416,2.38563146673e+18,1.10636143224e+21,1.10874706371e+21,1.30400748395e+20,6.04747048204e+22,6.04747048204e+22
12,2.19727991667,0.622992166666,3.20767292372e+16,1.05679247518e+18,1.08886920442e+18,3.55054452388e+17,1.16975415663e+19,1.16975415663e+19
13,1.17193166667,-0.762385333333,1.57059057033e+18,5.96520957363e+20,5.98091547934e+20,9.77869747472e+18,3.71401566365e+21,3.71401566365e+21
14,1.10930633333,-0.589997,1.6835092986e+19,6.05295345078e+20,6.22130438064e+20,1.13665587392e+19,4.08677582008e+20,4.08677582008e+20
15,1.119535,-0.706885666667,1.49142114135e+19,7.11005633124e+20,7.25919844537e+20,1.52003410038e+20,7.24646297375e+21,7.24646297375e+21
16,1.16234316667,-0.563620833333,1.67015163421e+17,1.14604037145e+20,1.14771052308e+20,1.28068827866e+19,8.78794739664e+21,8.78794739664e+21
17,1.13932233333,-0.603947666666,2.7401755684e+18,5.01987999748e+20,5.04728175317e+20,2.89152945427e+18,5.29715359738e+20,5.29715359738e+20
18,1.15795416667,-0.6532705,8.73818596678e+16,4.5188071374e+20,4.519680956e+20,6.82126789983e+16,3.52750492941e+20,3.52750492941e+20
19,1.09977,-0.537148666667,3.17879441642e+19,4.48381393952e+20,4.80169338116e+20,1.84831054206e+19,2.60711436079e+20,2.60711436079e+20
20,1.17806083333,-0.666246166667,7.19519844664e+15,3.15959491591e+20,3.1596668679e+20,7.99096706307e+15,3.50903718541e+20,3.50903718541e+20
21,1.17233,-0.719346,6.43661250569e+16,4.88892370237e+20,4.88956736362e+20,1.68636953929e+17,1.28088058809e+21,1.28088058809e+21
22,1.1597305,-0.5867395,2.26609947123e+17,2.59923106335e+20,2.60149716282e+20,4.46617529841e+16,5.12273257082e+19,5.12273257082e+19
23,1.17689866667,-0.562625,3.11724530427e+16,5.37425189152e+19,5.37736913683e+19,2.30825123782e+18,3.97951472218e+21,3.97951472218e+21
24,1.18078983333,-0.643152833333,9.01701044855e+15,1.52522233543e+20,1.52531250553e+20,5.92029349953e+17,1.00141437445e+22,1.00141437445e+22
25,1.19994216667,-0.475913666667,9.21741562704e+14,4.1888511145e+18,4.18977285606e+18,1.63813214826e+18,7.44448547465e+21,7.44448547465e+21
