        R                 Z              n_n_slow        n_n_thermal        n_n_total       izn_rate_slow    izn_rate_thermal   izn_rate_total  
           1.07629           0.10216       4.30880E+15       1.72085E+15       6.02965E+15       3.59175E+18       1.43447E+18       5.02622E+18
           1.33799          -0.01302       7.53677E+00       9.81117E+12       9.81117E+12       2.07567E+03       2.70205E+15       2.70205E+15
           1.23911          -0.90966       8.56424E+14       1.47498E+15       2.33140E+15       9.14657E+17       1.57527E+18       2.48993E+18
           1.21725          -0.86147       1.35432E+15       1.64594E+15       3.00025E+15       1.39690E+18       1.69770E+18       3.09460E+18
           1.18179          -0.58020       3.05019E+14       1.71286E+14       4.76305E+14       9.15116E+16       5.13892E+16       1.42901E+17
           1.22076          -0.62436       2.76429E+13       1.19400E+14       1.47043E+14       9.71684E+15       4.19706E+16       5.16875E+16
           1.22712          -0.71480       2.16808E+14       1.62409E+14       3.79217E+14       7.50146E+16       5.61929E+16       1.31208E+17
           1.24104          -0.63011       6.69451E+12       9.62173E+13       1.02912E+14       2.57649E+15       3.70308E+16       3.96073E+16
           1.37353          -1.28386       7.79696E+15       2.37943E+15       1.01764E+16       7.14229E+16       2.17964E+16       9.32193E+16
           1.20046          -0.55949       3.50102E+13       1.26693E+14       1.61703E+14       1.13835E+16       4.11942E+16       5.25777E+16
           1.12509          -1.25796       1.16852E+16       4.09909E+15       1.57843E+16       7.31058E+18       2.56451E+18       9.87509E+18
           1.12013          -0.61540       3.11216E+15       1.91314E+15       5.02530E+15       2.21234E+18       1.36000E+18       3.57234E+18
           1.23889          -0.60277       2.27921E+12       8.81853E+13       9.04646E+13       8.47868E+14       3.28051E+16       3.36530E+16
           1.25454          -0.78159       1.41352E+14       1.39263E+14       2.80615E+14       5.81782E+16       5.73187E+16       1.15497E+17
           1.27258          -0.74978       1.19004E+13       9.45866E+13       1.06487E+14       4.96842E+15       3.94898E+16       4.44582E+16
           1.32231          -0.91834       4.50842E+13       9.43833E+13       1.39468E+14       2.51425E+16       5.26355E+16       7.77779E+16
           1.28705          -0.84940       7.50402E+13       1.07251E+14       1.82291E+14       3.31835E+16       4.74276E+16       8.06112E+16
           1.29489          -0.74931       2.27690E+12       7.19980E+13       7.42749E+13       1.11081E+15       3.51252E+16       3.62360E+16
