 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.6000 MW
 Total Lost Power          =     .0000 MW
 Total NB Driven Current   =   .12259E+06 A
 Total NBCD Efficiency     =   .26650E-01 A/W
 Total Beam Beta           =   .15090E-02
 Taus                      =   .25679E-02 s
 Volp                      =   .17757E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .46000E+01
 Lost Power          .00000E+00
 NB driven current   .12259E+06
 NBCD efficiency     .26650E-01
 NBCD gamma          .13014E-01

 Beam Shinethrough
    energy group 1   .00000E+00
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .26050E-03 MW
 Total Power to Charged Particles =   .17189E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .22572E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
   .00000   .59976E+01   .45254E+01   .34081E+01
   .02000   .12143E+02   .91657E+01   .69057E+01
   .04000   .80229E+01   .60650E+01   .45767E+01
   .06000   .71124E+01   .53904E+01   .40784E+01
   .08000   .66318E+01   .50442E+01   .38306E+01
   .10000   .62760E+01   .47959E+01   .36596E+01
   .12000   .59631E+01   .45828E+01   .35175E+01
   .14000   .56653E+01   .43835E+01   .33879E+01
   .16000   .53718E+01   .41890E+01   .32635E+01
   .18000   .50801E+01   .39975E+01   .31429E+01
   .20000   .38927E+01   .31136E+01   .24905E+01
   .22000   .33362E+01   .27095E+01   .22013E+01
   .24000   .29553E+01   .24380E+01   .20118E+01
   .26000   .26654E+01   .22345E+01   .18731E+01
   .28000   .24326E+01   .20732E+01   .17654E+01
   .30000   .22403E+01   .19419E+01   .16801E+01
   .32000   .20772E+01   .18319E+01   .16103E+01
   .34000   .19364E+01   .17378E+01   .15519E+01
   .36000   .18135E+01   .16566E+01   .15029E+01
   .38000   .17042E+01   .15846E+01   .14600E+01
   .40000   .16060E+01   .15199E+01   .14220E+01
