 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    7.6290 MW
 Total Lost Power          =    0.0000 MW
 Total NB Driven Current   =          NaN A
 Total NBCD Efficiency     =          NaN A/W
 Total Beam Beta           =  0.66871E-02
 Taus                      =  0.39717E-01 s
 Volp                      =  0.13674E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power     0.76290E+01
 Lost Power         0.00000E+00
 NB driven current          NaN
 NBCD efficiency            NaN
 NBCD gamma                 NaN

 Beam Shinethrough
    energy group 1  0.00000E+00
    energy group 2  0.00000E+00
    energy group 3  0.00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =          NaN MW
 Total Power to Charged Particles =          NaN MW
 Total DT Neutron Rate            =  0.00000E+00 n/s
 Total DD Neutron Rate            =          NaN n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
  0.00000  0.43769E+01  0.34027E+01  0.26706E+01
  0.02000  0.10105E+02  0.81727E+01  0.66047E+01
  0.04000  0.66628E+01  0.53898E+01  0.43583E+01
  0.06000  0.58996E+01  0.47762E+01  0.38669E+01
  0.08000  0.54990E+01  0.44585E+01  0.36169E+01
  0.10000  0.51611E+01  0.42020E+01  0.34221E+01
  0.12000  0.48669E+01  0.39815E+01  0.32573E+01
  0.14000  0.45920E+01  0.37772E+01  0.31062E+01
  0.16000  0.43268E+01  0.35808E+01  0.29622E+01
  0.18000  0.40503E+01  0.33774E+01  0.28137E+01
  0.20000  0.37813E+01  0.31794E+01  0.26694E+01
  0.22000  0.35200E+01  0.29866E+01  0.25287E+01
  0.24000  0.32677E+01  0.27997E+01  0.23923E+01
  0.26000  0.30261E+01  0.26165E+01  0.22561E+01
  0.28000  0.27966E+01  0.24419E+01  0.21259E+01
  0.30000  0.25801E+01  0.22767E+01  0.20023E+01
  0.32000  0.23775E+01  0.21213E+01  0.18859E+01
  0.34000  0.21132E+01  0.19096E+01  0.17198E+01
  0.36000  0.18611E+01  0.17054E+01  0.15576E+01
  0.38000  0.16836E+01  0.15629E+01  0.14455E+01
  0.40000  0.15395E+01  0.14473E+01  0.13549E+01
  0.42000  0.14208E+01  0.13525E+01  0.12811E+01
  0.44000  0.13175E+01  0.12699E+01  0.12167E+01
  0.46000  0.12264E+01  0.11967E+01  0.11595E+01
  0.48000  0.11451E+01  0.11310E+01  0.11078E+01
  0.50000  0.10756E+01  0.10751E+01  0.10643E+01
  0.52000  0.10125E+01  0.10241E+01  0.10244E+01
  0.54000  0.95496E+00  0.97731E+00  0.98759E+00
  0.56000  0.90207E+00  0.93400E+00  0.95327E+00
  0.58000  0.85641E+00  0.89717E+00  0.92475E+00
  0.60000  0.81425E+00  0.86310E+00  0.89841E+00
  0.62000  0.77522E+00  0.83133E+00  0.87369E+00
  0.64000  0.73883E+00  0.80140E+00  0.85014E+00
  0.66000  0.70678E+00  0.77554E+00  0.83041E+00
  0.68000  0.67675E+00  0.75108E+00  0.81159E+00
  0.70000  0.64855E+00  0.72785E+00  0.79354E+00
  0.72000  0.62192E+00  0.70571E+00  0.77616E+00
  0.74000  0.59772E+00  0.68579E+00  0.76083E+00
  0.76000  0.57478E+00  0.66670E+00  0.74598E+00
