 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
  2070  2070     0   0.000E+00   0.000E+00   1.500E-02   4.074E-01
  2070     4     0   4.811E-01   7.663E-01   1.500E-02   4.074E-01
  2070    13     0   1.085E-01   2.160E-01   1.500E-02   4.074E-01
     4  2070     0   3.594E-01   5.724E-01   1.500E-02   4.074E-01
     4     4     0   0.000E+00   0.000E+00   1.500E-02   4.074E-01
     4    13     0   2.499E-01   4.112E-01   1.500E-02   4.074E-01
    13  2070     0   1.388E-01   2.764E-01   1.500E-02   4.074E-01
    13     4     0   4.280E-01   7.044E-01   1.500E-02   4.074E-01
    13    13     0   0.000E+00   0.000E+00   1.500E-02   4.074E-01
  1621  1621     1   0.000E+00   0.000E+00   1.063E-01   1.189E+00
  1621   977     1   8.500E-02   9.526E-02   1.063E-01   1.189E+00
  1621   490     1   8.572E-01   8.996E-01   1.063E-01   1.189E+00
   977  1621     1   1.226E-01   1.374E-01   1.063E-01   1.195E+00
   977   977     1   0.000E+00   0.000E+00   1.063E-01   1.195E+00
   977   490     1   8.132E-01   8.569E-01   1.063E-01   1.195E+00
   490  1621     1   5.711E-01   5.969E-01   1.063E-01   6.337E-01
   490   977     1   3.757E-01   3.942E-01   1.063E-01   6.337E-01
   490   490     1   0.000E+00   0.000E+00   1.063E-01   6.337E-01
  2071  2071     2   0.000E+00   0.000E+00   1.590E-01   1.590E-01
  2071    17     2   3.134E-01   3.134E-01   1.590E-01   1.590E-01
  2071  1748     2   6.147E-01   6.147E-01   1.590E-01   1.590E-01
    17  2071     2   1.973E-01   1.973E-01   1.590E-01   1.590E-01
    17    17     2   0.000E+00   0.000E+00   1.590E-01   1.590E-01
    17  1748     2   7.412E-01   7.412E-01   1.590E-01   1.590E-01
  1748  2071     2   3.229E-01   3.229E-01   1.590E-01   1.590E-01
  1748    17     2   6.183E-01   6.183E-01   1.590E-01   1.590E-01
  1748  1748     2   0.000E+00   0.000E+00   1.590E-01   1.590E-01
   758   758     3   0.000E+00   0.000E+00   3.493E-02   4.829E-01
   758  1195     3   6.468E-01   7.259E-01   3.493E-02   4.829E-01
   758  1574     3   2.264E-01   2.649E-01   3.493E-02   4.829E-01
  1195   758     3   6.832E-01   7.669E-01   3.493E-02   4.829E-01
  1195  1195     3   0.000E+00   0.000E+00   3.493E-02   4.829E-01
  1195  1574     3   1.882E-01   2.238E-01   3.493E-02   4.829E-01
  1574   758     3   4.693E-01   5.449E-01   3.493E-02   2.886E-01
  1574  1195     3   3.694E-01   4.356E-01   3.493E-02   2.886E-01
  1574  1574     3   0.000E+00   0.000E+00   3.493E-02   2.886E-01
